Date,generative_ai,machine_learning,chatgpt,large_language_model,artificial_intelligence
2021-07-25,0.0,11.0,0.0,,9.0
2021-08-01,0.0,11.0,0.0,,9.0
2021-08-08,0.0,11.0,0.0,,9.0
2021-08-15,0.0,11.0,0.0,,9.0
2021-08-22,0.0,11.0,0.0,,10.0
2021-08-29,0.0,11.0,0.0,,10.0
2021-09-05,0.0,11.0,0.0,,9.0
2021-09-12,0.0,12.0,0.0,,10.0
2021-09-19,0.0,12.0,0.0,,11.0
2021-09-26,0.0,12.0,0.0,,10.0
2021-10-03,0.0,12.0,0.0,,11.0
2021-10-10,0.0,12.0,0.0,,10.0
2021-10-17,0.0,12.0,0.0,,10.0
2021-10-24,0.0,13.0,0.0,,11.0
2021-10-31,0.0,11.0,0.0,,10.0
2021-11-07,0.0,12.0,0.0,,10.0
2021-11-14,0.0,13.0,0.0,,11.0
2021-11-21,0.0,12.0,0.0,,11.0
2021-11-28,0.0,13.0,0.0,,11.0
2021-12-05,0.0,13.0,0.0,,11.0
2021-12-12,0.0,13.0,0.0,,10.0
2021-12-19,0.0,11.0,0.0,,9.0
2021-12-26,0.0,10.0,0.0,,8.0
2022-01-02,0.0,16.0,0.0,,11.0
2022-01-09,0.0,15.0,0.0,,11.0
2022-01-16,0.0,14.0,0.0,,11.0
2022-01-23,0.0,16.0,0.0,,12.0
2022-01-30,0.0,16.0,0.0,,12.0
2022-02-06,0.0,17.0,0.0,,13.0
2022-02-13,0.0,19.0,0.0,,14.0
2022-02-20,0.0,19.0,0.0,,14.0
2022-02-27,0.0,17.0,0.0,,14.0
2022-03-06,0.0,18.0,0.0,,13.0
2022-03-13,0.0,18.0,0.0,,13.0
2022-03-20,0.0,19.0,0.0,,14.0
2022-03-27,0.0,20.0,0.0,,14.0
2022-04-03,0.0,19.0,0.0,,14.0
2022-04-10,0.0,17.0,0.0,,12.0
2022-04-17,0.0,20.0,0.0,,13.0
2022-04-24,0.0,19.0,0.0,,14.0
2022-05-01,0.0,19.0,0.0,,12.0
2022-05-08,0.0,21.0,0.0,,13.0
2022-05-15,0.0,18.0,0.0,,12.0
2022-05-22,0.0,18.0,0.0,,12.0
2022-05-29,0.0,17.0,0.0,,12.0
2022-06-05,0.0,18.0,0.0,,12.0
2022-06-12,0.0,19.0,0.0,,14.0
2022-06-19,0.0,18.0,0.0,,15.0
2022-06-26,0.0,17.0,0.0,,13.0
2022-07-03,0.0,17.0,0.0,,12.0
2022-07-10,0.0,16.0,0.0,,12.0
2022-07-17,0.0,17.0,0.0,,13.0
2022-07-24,0.0,17.0,0.0,,12.0
2022-07-31,0.0,17.0,0.0,,12.0
2022-08-07,0.0,16.0,0.0,,11.0
2022-08-14,0.0,16.0,0.0,,11.0
2022-08-21,0.0,17.0,0.0,,13.0
2022-08-28,0.0,17.0,0.0,,12.0
2022-09-04,0.0,16.0,0.0,,12.0
2022-09-11,0.0,18.0,0.0,,14.0
2022-09-18,0.0,19.0,0.0,,14.0
2022-09-25,0.0,19.0,0.0,,14.0
2022-10-02,0.0,17.0,0.0,,12.0
2022-10-09,0.0,19.0,0.0,,14.0
2022-10-16,0.0,18.0,0.0,,15.0
2022-10-23,0.0,17.0,0.0,,12.0
2022-10-30,0.0,18.0,0.0,,13.0
2022-11-06,0.0,18.0,0.0,,13.0
2022-11-13,0.0,21.0,0.0,,14.0
2022-11-20,0.0,18.0,0.0,,13.0
2022-11-27,1.0,18.0,0.0,,14.0
2022-12-04,1.0,19.0,4.0,,16.0
2022-12-11,1.0,19.0,6.0,,15.0
2022-12-18,1.0,17.0,4.0,,13.0
2022-12-25,0.0,15.0,3.0,,12.0
2023-01-01,1.0,17.0,5.0,,14.0
2023-01-08,1.0,19.0,8.0,,15.0
2023-01-15,1.0,18.0,9.0,,16.0
2023-01-22,2.0,19.0,11.0,,17.0
2023-01-29,2.0,20.0,14.0,,19.0
2023-02-05,2.0,19.0,16.0,,20.0
2023-02-12,2.0,19.0,17.0,,19.0
2023-02-19,2.0,19.0,17.0,,19.0
2023-02-26,2.0,19.0,16.0,,18.0
2023-03-05,3.0,19.0,16.0,,18.0
2023-03-12,3.0,19.0,18.0,,17.0
2023-03-19,4.0,18.0,20.0,,18.0
2023-03-26,4.0,19.0,21.0,,22.0
2023-04-02,4.0,17.0,20.0,,20.0
2023-04-09,5.0,18.0,21.0,,21.0
2023-04-16,5.0,19.0,22.0,,22.0
2023-04-23,5.0,19.0,21.0,,20.0
2023-04-30,5.0,20.0,20.0,,25.0
2023-05-07,6.0,18.0,22.0,,24.0
2023-05-14,6.0,19.0,21.0,,23.0
2023-05-21,10.0,18.0,21.0,,23.0
2023-05-28,11.0,18.0,20.0,,23.0
2023-06-04,13.0,19.0,19.0,,23.0
2023-06-11,13.0,18.0,20.0,,23.0
2023-06-18,11.0,18.0,19.0,,21.0
2023-06-25,11.0,17.0,17.0,,20.0
2023-07-02,10.0,17.0,17.0,,20.0
2023-07-09,11.0,19.0,18.0,,21.0
2023-07-16,11.0,17.0,15.0,,21.0
2023-07-23,11.0,17.0,15.0,,20.0
2023-07-30,11.0,18.0,15.0,,19.0
2023-08-06,11.0,17.0,15.0,,19.0
2023-08-13,11.0,17.0,16.0,,18.0
2023-08-20,12.0,18.0,17.0,,20.0
2023-08-27,12.0,17.0,18.0,,19.0
2023-09-03,10.0,18.0,18.0,,18.0
2023-09-10,10.0,18.0,20.0,,20.0
2023-09-17,11.0,18.0,21.0,,19.0
2023-09-24,11.0,19.0,22.0,,20.0
2023-10-01,11.0,19.0,22.0,,19.0
2023-10-08,11.0,18.0,22.0,,21.0
2023-10-15,11.0,18.0,23.0,,19.0
2023-10-22,10.0,18.0,23.0,,18.0
2023-10-29,10.0,19.0,22.0,,20.0
2023-11-05,10.0,19.0,25.0,,19.0
2023-11-12,10.0,18.0,23.0,,18.0
2023-11-19,10.0,19.0,23.0,,19.0
2023-11-26,11.0,20.0,26.0,,20.0
2023-12-03,11.0,20.0,26.0,,21.0
2023-12-10,10.0,20.0,25.0,,20.0
2023-12-17,9.0,18.0,20.0,,18.0
2023-12-24,7.0,15.0,15.0,,15.0
2023-12-31,8.0,17.0,18.0,,17.0
2024-01-07,10.0,18.0,22.0,,20.0
2024-01-14,12.0,18.0,22.0,,19.0
2024-01-21,12.0,19.0,22.0,,20.0
2024-01-28,13.0,21.0,22.0,,21.0
2024-02-04,13.0,20.0,22.0,,21.0
2024-02-11,13.0,20.0,23.0,,22.0
2024-02-18,14.0,21.0,24.0,,23.0
2024-02-25,14.0,22.0,24.0,,22.0
2024-03-03,13.0,20.0,25.0,,22.0
2024-03-10,14.0,21.0,25.0,,22.0
2024-03-17,14.0,21.0,26.0,,21.0
2024-03-24,13.0,19.0,22.0,,20.0
2024-03-31,12.0,20.0,23.0,,19.0
2024-04-07,12.0,19.0,24.0,,20.0
2024-04-14,12.0,20.0,27.0,,21.0
2024-04-21,12.0,20.0,27.0,,22.0
2024-04-28,11.0,20.0,26.0,,21.0
2024-05-05,12.0,20.0,26.0,,23.0
2024-05-12,13.0,19.0,30.0,,23.0
2024-05-19,12.0,20.0,29.0,,22.0
2024-05-26,12.0,19.0,30.0,,22.0
2024-06-02,12.0,19.0,30.0,,21.0
2024-06-09,13.0,20.0,26.0,,23.0
2024-06-16,16.0,18.0,24.0,,21.0
2024-06-23,13.0,18.0,23.0,,20.0
2024-06-30,13.0,17.0,22.0,,19.0
2024-07-07,13.0,17.0,21.0,,19.0
2024-07-14,13.0,19.0,21.0,,19.0
2024-07-21,13.0,18.0,21.0,,19.0
2024-07-28,12.0,18.0,22.0,,18.0
2024-08-04,11.0,17.0,24.0,,19.0
2024-08-11,11.0,17.0,26.0,,18.0
2024-08-18,12.0,17.0,30.0,,20.0
2024-08-25,12.0,17.0,31.0,,20.0
2024-09-01,11.0,18.0,33.0,,20.0
2024-09-08,12.0,18.0,38.0,,22.0
2024-09-15,12.0,18.0,38.0,,20.0
2024-09-22,11.0,19.0,41.0,,22.0
2024-09-29,10.0,19.0,40.0,,20.0
2024-10-06,11.0,19.0,43.0,,20.0
2024-10-13,11.0,19.0,44.0,,19.0
2024-10-20,12.0,19.0,48.0,,20.0
2024-10-27,12.0,17.0,46.0,,18.0
2024-11-03,11.0,18.0,49.0,,18.0
2024-11-10,13.0,19.0,50.0,,20.0
2024-11-17,14.0,21.0,52.0,,20.0
2024-11-24,11.0,19.0,48.0,,20.0
2024-12-01,11.0,19.0,52.0,,23.0
2024-12-08,12.0,20.0,54.0,,22.0
2024-12-15,10.0,19.0,44.0,,20.0
2024-12-22,9.0,15.0,36.0,,18.0
2024-12-29,9.0,15.0,33.0,,19.0
2025-01-05,12.0,19.0,46.0,,22.0
2025-01-12,11.0,18.0,47.0,,22.0
2025-01-19,12.0,19.0,51.0,,21.0
2025-01-26,13.0,19.0,52.0,,22.0
2025-02-02,12.0,19.0,55.0,,21.0
2025-02-09,13.0,20.0,55.0,,22.0
2025-02-16,13.0,20.0,58.0,,21.0
2025-02-23,13.0,19.0,57.0,,21.0
2025-03-02,12.0,19.0,57.0,,21.0
2025-03-09,11.0,18.0,59.0,,20.0
2025-03-16,14.0,20.0,61.0,,21.0
2025-03-23,12.0,19.0,66.0,,20.0
2025-03-30,12.0,17.0,97.0,,20.0
2025-04-06,12.0,19.0,75.0,,20.0
2025-04-13,11.0,18.0,69.0,,19.0
2025-04-20,13.0,19.0,71.0,,20.0
2025-04-27,13.0,19.0,73.0,,20.0
2025-05-04,12.0,18.0,72.0,,20.0
2025-05-11,13.0,20.0,77.0,,20.0
2025-05-18,13.0,19.0,78.0,,20.0
2025-05-25,12.0,17.0,76.0,,19.0
2025-06-01,15.0,20.0,77.0,,23.0
2025-06-08,17.0,23.0,78.0,,24.0
2025-06-15,17.0,22.0,78.0,,26.0
2025-06-22,17.0,22.0,79.0,,24.0
2025-06-29,15.0,21.0,75.0,,23.0
2025-07-06,14.0,19.0,75.0,,24.0
2025-07-13,16.0,22.0,76.0,,26.0
2025-07-20,20.0,24.0,79.0,,29.0
2025-07-27,23.0,26.0,76.0,16.0,35.0
2025-08-03,48.0,35.0,89.0,41.0,43.0
2025-08-10,80.0,50.0,83.0,51.0,57.0
2025-08-17,76.0,47.0,86.0,44.0,52.0
2025-08-24,53.0,38.0,90.0,29.0,44.0
2025-08-31,52.0,42.0,88.0,29.0,48.0
2025-09-07,49.0,39.0,92.0,26.0,46.0
2025-09-14,44.0,37.0,100.0,24.0,41.0
2025-09-21,48.0,41.0,95.0,27.0,53.0
2025-09-28,50.0,40.0,92.0,29.0,53.0
2025-10-05,48.0,37.0,94.0,28.0,47.0
2025-10-12,50.0,33.0,93.0,33.0,47.0
2025-10-19,48.0,38.0,91.0,31.0,47.0
2025-10-26,45.0,36.0,89.0,29.0,44.0
2025-11-02,48.0,37.0,93.0,29.0,45.0
2025-11-09,46.0,38.0,95.0,30.0,47.0
2025-11-16,47.0,45.0,94.0,36.0,52.0
2025-11-23,50.0,45.0,86.0,38.0,56.0
2025-11-30,53.0,46.0,86.0,41.0,57.0
2025-12-07,47.0,43.0,85.0,39.0,54.0
2025-12-14,52.0,44.0,81.0,46.0,54.0
2025-12-21,39.0,32.0,63.0,40.0,37.0
2025-12-28,35.0,30.0,61.0,35.0,36.0
2026-01-04,40.0,37.0,75.0,36.0,41.0
2026-01-11,45.0,40.0,80.0,41.0,44.0
2026-01-18,48.0,50.0,79.0,41.0,49.0
2026-01-25,50.0,50.0,81.0,46.0,56.0
2026-02-01,52.0,55.0,83.0,44.0,57.0
2026-02-08,53.0,71.0,82.0,46.0,81.0
2026-02-15,56.0,78.0,71.0,43.0,80.0
2026-02-22,64.0,70.0,78.0,54.0,72.0
2026-03-01,68.0,55.0,86.0,61.0,58.0
2026-03-08,71.0,54.0,86.0,54.0,57.0
2026-03-15,73.0,66.0,78.0,59.0,73.0
2026-03-22,72.0,84.0,81.0,60.0,73.0
2026-03-29,73.0,88.0,76.0,61.0,76.0
2026-04-05,75.0,81.0,76.0,69.0,81.0
2026-04-12,74.0,77.0,76.0,73.0,77.0
2026-04-19,70.0,68.0,81.0,67.0,70.0
2026-04-26,74.0,83.0,75.0,76.0,83.0
